AMIE,Nombre_Institucion,Provincia,Canton,Parroquia,Sostenimiento,Area,Total_Anios_Registrados,Primer_Anio,Ultimo_Anio
09H02847,ING EDUARDO ALARCON SOTO,GUAYAS,ALFREDO BAQUERIZO MORENO,ALFREDO BAQUERIZO MORENO (JUJAN),Fiscal,Urbana,17,2009-2010,2025-2026
09H02875,JORGE ENRRIQUE SALGADO PORTUGAL,GUAYAS,ALFREDO BAQUERIZO MORENO,ALFREDO BAQUERIZO MORENO (JUJAN),Fiscal,Urbana,6,2009-2010,2014-2015
09H02864,JOSE DOMINGO DELGADO CAREGUA,GUAYAS,ALFREDO BAQUERIZO MORENO,ALFREDO BAQUERIZO MORENO (JUJAN),Fiscal,Urbana,17,2009-2010,2025-2026
09H02903,8 DE MAYO,GUAYAS,BALAO,BALAO,Fiscal,Urbana,17,2009-2010,2025-2026
09H02925,27 DE MARZO,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H02983,ANTONIO JOSE DE SUCRE,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H03064,BENIGNA PAREJA DE MACIAS,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H03029,DOS DE AGOSTO,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H02987,LA CARMELITA,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,6,2009-2010,2014-2015
09H03041,LUIS GODIN N 3,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H03065,PABLO NERUDA,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H03074,SALAMINA,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H03048,SANTA MARIANITA,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,6,2009-2010,2014-2015
09H05899,SIETE DE ABRIL,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,16,2010-2011,2025-2026
09H03050,UNIDAD DE FORMACION ARTESANAL FISCAL ALVARADO,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,17,2009-2010,2025-2026
09H03088,23 DE JUNIO CENTRO DE ALFABETIZACION,GUAYAS,COLIMES,SAN JACINTO,Fiscal,Rural,6,2009-2010,2014-2015
09H03153,ABDON CALDERON NUMERO 13,GUAYAS,COLIMES,COLIMES,Fiscal,Urbana,17,2009-2010,2025-2026
09H03136,COLEGIO PARTICULAR HERMANA BERTHA,GUAYAS,COLIMES,COLIMES,Particular,Urbana,6,2009-2010,2014-2015
09H03167,DR. VELASCO IBARRA,GUAYAS,COLIMES,COLIMES,Fiscal,Urbana,6,2009-2010,2014-2015
09H05311,JORGE ICAZA CORONEL,GUAYAS,COLIMES,SAN JACINTO,Fiscal,Rural,17,2009-2010,2025-2026
09H05136,JESUS MI PASTOR,GUAYAS,CORONEL MARCELINO MARIDUEÃA,CORONEL MARCELINO MARIDUEÃA (SAN CARLOS),Particular,Urbana,7,2009-2010,2015-2016
09H05139,SAN CARLOS,GUAYAS,CORONEL MARCELINO MARIDUEÃA,CORONEL MARCELINO MARIDUEÃA (SAN CARLOS),Particular,Urbana,17,2009-2010,2025-2026
09H05876,DRA AZUCENA CASTRO NUÃEZ   N 32,GUAYAS,DAULE,DAULE,Fiscal,Urbana,6,2010-2011,2015-2016
09H03354,ESCUELA FISCAL MIXTA GRACIELA PESANTES DE DUARTE,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE (LOS TINTOS),Fiscal,Rural,17,2009-2010,2025-2026
09H03270,EUFEMIA ALVARADO ALVARADO 2,GUAYAS,DAULE,DAULE,Fiscal,Urbana,17,2009-2010,2025-2026
09H03389,GABRIEL SOLIS MOREIRA,GUAYAS,DAULE,LIMONAL,Fiscal,Rural,6,2009-2010,2014-2015
09H05824,HARVEST,GUAYAS,DAULE,LA AURORA (SATELITE),Particular,Urbana,16,2010-2011,2025-2026
09H03211,HISPANOAMERICA,GUAYAS,DAULE,DAULE,Particular,Urbana,6,2009-2010,2014-2015
09H03387,JARDIN ESCUELA ISMAEL PEREZ PAZMIÃO N 5,GUAYAS,DAULE,LIMONAL,Fiscal,Rural,17,2009-2010,2025-2026
09H03379,JESUS DE NAZARETH,GUAYAS,DAULE,LAUREL,Fiscal,Rural,7,2009-2010,2015-2016
09H03441,LUIS ALFREDO GOMEZ GUTIERREZ,GUAYAS,DAULE,LOS LOJAS (ENRIQUE BAQUERIZO MORENO),Fiscal,Rural,17,2009-2010,2025-2026
09H03320,LUIS AZOGUES NARVAEZ,GUAYAS,DAULE,DAULE,Particular,Urbana,6,2009-2010,2014-2015
09H03218,LUIS CORDERO    6,GUAYAS,DAULE,DAULE,Fiscal,Urbana,17,2009-2010,2025-2026
09H03292,MARCOS ENRIQUE MORAN GOMEZ,GUAYAS,DAULE,DAULE,Fiscal,Urbana,17,2009-2010,2025-2026
09H03338,MIGUEL DE CERVANTES,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE (LOS TINTOS),Fiscal,Rural,17,2009-2010,2025-2026
09H03371,PADRE JUAN DE VELASCO,GUAYAS,DAULE,LAUREL,Fiscal,Rural,17,2009-2010,2025-2026
09H03262,SAN FRANCISCO DE ASIS,GUAYAS,DAULE,DAULE,Fiscal,Urbana,17,2009-2010,2025-2026
09H03386,SIN NOMBRE,GUAYAS,DAULE,LIMONAL,Fiscal,Rural,17,2009-2010,2025-2026
09H03293,SIN NOMBRE NO.22,GUAYAS,DAULE,DAULE,Fiscal,Urbana,17,2009-2010,2025-2026
09H03350,SUSANA SAMPIN DE LEON,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE (LOS TINTOS),Fiscal,Rural,17,2009-2010,2025-2026
09H03271,VELASCO IBARRA,GUAYAS,DAULE,DAULE,Fiscal,Urbana,17,2009-2010,2025-2026
09H03638,7 DE FEBRERO,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H05671,ACCION MISIONERA EVANGELICA NACIONAL,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03680,ANGELITOS DEL SABER,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03480,ARCOIRIS DEL RECREO,GUAYAS,DURAN,EL RECREO,Particular,Urbana,6,2009-2010,2014-2015
09H05895,BARUJITOS,GUAYAS,DURAN,EL RECREO,Particular,Urbana,16,2010-2011,2025-2026
09H03528,DR MIGUEL ANGEL ZAMBRANO,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,17,2009-2010,2025-2026
09H03634,DR PEDRO ISAIAS BARQUET,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03461,DULCES JESUS N37   N42,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03646,ESCUELA PARTICULAR LA EXCELENCIA,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H05670,EUSEBIO IZQUIERDO,GUAYAS,DURAN,ELOY ALFARO (DURAN),Fiscal,Urbana,14,2012-2013,2025-2026
09H03460,GOTITAS DE GENTE,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03454,GUILLERMO DAVIS NRO.23,GUAYAS,DURAN,ELOY ALFARO (DURAN),Fiscal,Urbana,17,2009-2010,2025-2026
09H03549,LOS DIRIGENTE DEL MUNDO FUTURO,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03701,LUIS VARGAS TORRES,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03598,MI ECUADOR,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,17,2009-2010,2025-2026
09H03652,MIS PEQUEÃOS ANGELITOS,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,17,2009-2010,2025-2026
09H03578,PENIEL,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,17,2009-2010,2025-2026
09H05468,SIEMBRA Y COSECHA,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03540,TIA OLGUITA,GUAYAS,DURAN,ELOY ALFARO (DURAN),Particular,Urbana,6,2009-2010,2014-2015
09H03601,VICTOR MIGUEL MURILLO SOTO,GUAYAS,DURAN,ELOY ALFARO (DURAN),Fiscal,Urbana,17,2009-2010,2025-2026
09H03795,ALBERTO MENA  CUEVA,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Particular,Urbana,6,2009-2010,2014-2015
09H05503,ANTONIO A VARELA MOREIRA,GUAYAS,EL EMPALME,EL ROSARIO,Municipal,Rural,17,2009-2010,2025-2026
09H03904,ANTONIO JOSE DE SUCRE NO 13,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Fiscal,Rural,17,2009-2010,2025-2026
09H03915,ELENA ZIADE DE ADUM,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Fiscal,Rural,6,2009-2010,2014-2015
09H03900,ESC MUNICIPAL 10 DE AGOSTO,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Municipal,Rural,6,2009-2010,2014-2015
09H03829,JOHN F KENNEDY,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Fiscal,Urbana,17,2009-2010,2025-2026
09H03945,JUANITA MARTINEZ,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Particular,Rural,8,2009-2010,2016-2017
09H03772,NO  37 MANUELA CAÃIZARES,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Fiscal,Urbana,17,2009-2010,2025-2026
09H03842,ORIENTE ECUATORIANO,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Fiscal,Urbana,17,2009-2010,2025-2026
09H03850,SAGRADO CORAZON DE JESUS,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Particular,Urbana,17,2009-2010,2025-2026
09H03788,SAN EDUARDO,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Municipal,Urbana,7,2009-2010,2015-2016
09H03912,SIN NOMBRE  22,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Fiscal,Rural,17,2009-2010,2025-2026
09H03844,VICENTE ROCAFUERTE,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Fiscal,Urbana,17,2009-2010,2025-2026
09H04008,ANIBAL ZEA,GUAYAS,EL TRIUNFO,EL TRIUNFO,Fiscal,Urbana,16,2010-2011,2025-2026
09H05395,CACIQUE GUAYAS,GUAYAS,EL TRIUNFO,EL TRIUNFO,Fiscal,Urbana,6,2009-2010,2014-2015
09H04056,DOCE DE OCTUBRE,GUAYAS,EL TRIUNFO,EL TRIUNFO,Particular,Urbana,17,2009-2010,2025-2026
09H04041,EL TRIUNFO 4,GUAYAS,EL TRIUNFO,EL TRIUNFO,Fiscal,Urbana,17,2009-2010,2025-2026
09H04021,FRANCISCO CALDERON,GUAYAS,EL TRIUNFO,EL TRIUNFO,Fiscal,Urbana,7,2009-2010,2015-2016
09H04038,JAIME ROLDOS AGUILERA,GUAYAS,EL TRIUNFO,EL TRIUNFO,Fiscal,Urbana,17,2009-2010,2025-2026
09H04072,NUEVOS HORIZONTES EXTENSION 13 EL TRIUNFO,GUAYAS,EL TRIUNFO,EL TRIUNFO,Particular,Urbana,6,2009-2010,2014-2015
09H05474,VEINTICINCO DE AGOSTO,GUAYAS,EL TRIUNFO,EL TRIUNFO,Municipal,Urbana,6,2009-2010,2014-2015
09H04029,VEINTIUNO DE JULIO,GUAYAS,EL TRIUNFO,EL TRIUNFO,Fiscal,Urbana,17,2009-2010,2025-2026
09H05176,SAN JUAN DE BUCAY,GUAYAS,GENERAL ANTONIO ELIZALDE,GENERAL ANTONIO ELIZALDE (BUCAY),Particular,Urbana,17,2009-2010,2025-2026
09H02669,12 DE OCTUBRE,GUAYAS,GUAYAQUIL,CHONGON,Fiscal,Urbana,17,2009-2010,2025-2026
09H02169,18 DE OCTUBRE,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,6,2009-2010,2014-2015
09H02609,24 DE DICIEMBRE,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,6,2009-2010,2014-2015
09H00900,27 DE FEBRERO,GUAYAS,GUAYAQUIL,GARCIA MORENO,Particular,Urbana,17,2009-2010,2025-2026
09H00272,A DIOS SEA LA GLORIA,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,17,2009-2010,2025-2026
09H01125,ABRAHAN CRUZ,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,8,2011-2012,2018-2019
09H01051,ADONAI,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H02633,AGAZZI,GUAYAS,GUAYAQUIL,CHONGON,Particular,Urbana,6,2009-2010,2014-2015
09H02690,ALBERTO GUERRERO MARTINEZ,GUAYAS,GUAYAQUIL,JUAN GOMEZ RENDON (PROGRESO),Fiscal,Rural,17,2009-2010,2025-2026
09H01701,ALBO FLORIDA 601,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H00437,ALCAZAR,GUAYAS,GUAYAQUIL,GARCIA MORENO,Particular,Urbana,17,2009-2010,2025-2026
09H01208,ALEGRIA DE LOS NIÃOS 67,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2015-2016
09H00920,ALTEMIA ROMAN MARQUEZ,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H02541,AMARILIS FUENTES ALCIVAR,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H02249,AMERICAN SCHOOL,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
09H00963,AMERICO VESPUCIO,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H02486,AMIGOS POR SIEMPRE,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,6,2009-2010,2014-2015
09H02721,ANA ROSA SANCHEZ DE BOWEN,GUAYAS,GUAYAQUIL,PASCUALES,Particular,Urbana,15,2009-2010,2025-2026
09H05306,ANGELES DE CRISTO,GUAYAS,GUAYAQUIL,LETAMENDI,Particular,Urbana,6,2009-2010,2014-2015
09H05796,APRENDIENDO CON JESUS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H00056,ASSAD BUCARAM,GUAYAS,GUAYAQUIL,CARBO (CONCEPCION),Fiscal,Urbana,15,2009-2010,2025-2026
09H00578,ASSAD BUCARAM ELMHALIN,GUAYAS,GUAYAQUIL,LETAMENDI,Fiscal,Urbana,17,2009-2010,2025-2026
09H01438,BENJAMIN ROSALES ASPIAZUSABE,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,17,2009-2010,2025-2026
09H00359,BURBUJITAS DE AMERICA,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,13,2009-2010,2021-2022
09H01552,CAMINITOS DE BELEN,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H00564,CAPRICHITOS INFANTILES,GUAYAS,GUAYAQUIL,LETAMENDI,Particular,Urbana,6,2009-2010,2014-2015
09H05967,CARLOS HUMBERTO CASTRO TORRES,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,16,2010-2011,2025-2026
09H06663,CENTRO DE EDUCACION INICIAL ANA MARIA DE PAREDES FLORES,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,9,2017-2018,2025-2026
09H00586,CENTRO DE EDUCACION INICIAL LOS AMIGUITOS DE MEMBOL,GUAYAS,GUAYAQUIL,LETAMENDI,Fiscal,Urbana,6,2009-2010,2014-2015
09H06217,CENTRO DE EDUCACION INICIAL LOS ANDES,GUAYAS,GUAYAQUIL,CHONGON,Fiscal,Urbana,11,2015-2016,2025-2026
09H02681,CENTRO DE PRIMARIA POPULAR SANTA MARIANITA DE JESUS,GUAYAS,GUAYAQUIL,CHONGON,Fiscal,Urbana,15,2009-2010,2025-2026
09H02297,CENTRO EDUCATIVO DE EDUCACION BASICA AB MARTHA BUCARAM DE ROLDOS,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H00332,CENTRO EDUCATIVO PARTICULAR     DIOS CIENCIA Y FE,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Fiscal,Urbana,7,2009-2010,2015-2016
09H00016,CENTRO ESCOLAR EXPERIMENTAL NO 3    NUEVE DE OCTUBRE UEB,GUAYAS,GUAYAQUIL,AYACUCHO,Fiscal,Urbana,17,2009-2010,2025-2026
09H00736,CINCO DE OCTUBRE,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,17,2009-2010,2025-2026
09H01913,CLARA BRUNO DE PIANA,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,17,2009-2010,2025-2026
09H06685,COLEGIO DE BACHILLERATO PARTICULAR COMANDANTE ANTONIO JOSE DE SUCRE,GUAYAS,GUAYAQUIL,NUEVE DE OCTUBRE,Particular,Urbana,7,2019-2020,2025-2026
09H06054,COLEGIO REPLICA VICENTE ROCAFUERTE,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H01902,CONCILIO DE LA SANTIDAD,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H01030,CRISTOBAL COLON,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,10,2009-2010,2018-2019
09H00941,CYBER SCHOOL,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H05608,DAMAS Y CABALLEROS DE  HONOR,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H00672,DE LA PROVIDENCIA,GUAYAS,GUAYAQUIL,OLMEDO (SAN ALEJO),Particular,Urbana,17,2009-2010,2025-2026
09H01749,DIECINUEVE DE ENERO,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H00297,DIOSELINA CARRERA DE URGILES,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,17,2009-2010,2025-2026
09H01344,DON RUPERTO ARTETA MONTE 402,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,17,2009-2010,2025-2026
09H00547,DR AGUSTIN VERA LOOR,GUAYAS,GUAYAQUIL,LETAMENDI,Fiscal,Urbana,17,2009-2010,2025-2026
09H02363,DR.FRANCISCO FALQUEZ AMPUERO,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H01775,DRA.GUADALUPE LARRIVA GONZALEZ,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,17,2009-2010,2025-2026
09H01864,ECOMUNDO,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H00200,EDUCACION  LIBERTAD Y AMOR,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,6,2009-2010,2014-2015
09H05248,EL NIÃO ES LO PRIMERO,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,6,2009-2010,2014-2015
09H00061,ENRIQUE GIL GILBERT,GUAYAS,GUAYAQUIL,CARBO (CONCEPCION),Fiscal,Urbana,17,2009-2010,2025-2026
09H00592,ESC FISCAL PABLO HANIBAL VELA,GUAYAS,GUAYAQUIL,LETAMENDI,Fiscal,Urbana,17,2009-2010,2025-2026
09H00892,ESCUELA ALTRUISTA,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,13,2009-2010,2021-2022
09H06662,ESCUELA DE EDUCACION BASICA FISCOMISIONAL SANTA MARIA MONTE DE PAZ,GUAYAS,GUAYAQUIL,TARQUI,Fiscomisional,Urbana,9,2017-2018,2025-2026
09H06222,ESCUELA DE EDUCACION BASICA PARTICULAR LUISA GOMEZ DE LA TORRE,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,11,2015-2016,2025-2026
09H02844,ESCUELA FISCAL MIXTA  2 MARIA MONTESSORI,GUAYAS,GUAYAQUIL,TENGUEL,Fiscal,Rural,17,2009-2010,2025-2026
09H01759,ESCUELA MAGICA,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H02321,ESCUELA NICOLAI IVANOVICH LOBACHEVSKI,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,17,2009-2010,2025-2026
09H01360,ESCUELA PARTICULAR MIXTA  DUPLOS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,16,2010-2011,2025-2026
09H01987,ESCUELA PARTICULAR MIXTA MONTE DE SION  495,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,6,2009-2010,2014-2015
09H00697,ESPERANZA DE LA ISLA,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,6,2009-2010,2014-2015
09H02594,ESTRELLITA DEL SABER,GUAYAS,GUAYAQUIL,XIMENA,Municipal,Urbana,6,2009-2010,2014-2015
09H00994,EXTENCION COLEGIO M0NTIRIAL,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H01774,FRANCO CANADIENSE,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H01692,GALAAD,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H02187,GENESIS,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,6,2009-2010,2014-2015
09H02219,GLOBITOS DE COLORES,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,17,2009-2010,2025-2026
09H01976,GOLOSITOS,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,13,2009-2010,2021-2022
09H01447,GONDOLA,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H00104,GRAL. JOSE DE ANTEPARA,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,6,2009-2010,2014-2015
09H00445,GUAYAQUIL,GUAYAS,GUAYAQUIL,GARCIA MORENO,Particular,Urbana,6,2009-2010,2014-2015
09H01690,INMACULADO CORAZON DE MARIA,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H01081,INSTITUTO DE INVESTIGACION PARA LA INFANCIA,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H05953,IRFEYAL EXT 013,GUAYAS,GUAYAQUIL,TARQUI,Fiscomisional,Urbana,15,2010-2011,2024-2025
09H00567,JAIME ALFONSO NEBOT VELASCO,GUAYAS,GUAYAQUIL,LETAMENDI,Fiscal,Urbana,17,2009-2010,2025-2026
09H00316,JOSE ALFREDO LLERENA,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Fiscal,Urbana,17,2009-2010,2025-2026
09H02125,JOSE DOMINGO FERAUD GUZMAN,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H01975,JOSE MARIA EGAS,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H02164,JUAN MARTIN MOYE,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,17,2009-2010,2025-2026
09H02621,JUAN MONTALVO,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H00267,JUAN XXIII,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,7,2009-2010,2015-2016
09H01687,JULIA CRESPO AGURTO,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,10,2009-2010,2018-2019
09H00256,JULIO MARIA MATOVELLE,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,17,2009-2010,2025-2026
09H01668,KRUGER CARRION LOOR 442,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,17,2009-2010,2025-2026
09H02495,LA FLORESTA,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,6,2009-2010,2014-2015
09H02412,LAPICITOS DE CERA 705,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,6,2009-2010,2014-2015
09H01041,LAS AMERICAS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,16,2010-2011,2025-2026
09H01767,LAS CUATRO ESTACIONES,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H00786,LAS PERSONITAS DEL MAÃANA Y PABLO BAQUERIZO NAZUR,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H02521,LCDO CARLOS ESTARELLAS AVILES,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H01415,LEGANES,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,13,2009-2010,2021-2022
09H02222,LEON IDROVO ENCALADA,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,6,2009-2010,2014-2015
09H01651,LETRAS Y LETRITAS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H01578,LEVANTATE Y RESPLANDECE,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H01402,LIBERTADOR BOLIVAR,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,13,2009-2010,2021-2022
09H01219,LIBROS Y ACUARELAS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
09H02749,LIC. CLEMENCIA LEON PITA,GUAYAS,GUAYAQUIL,PASCUALES,Fiscal,Urbana,6,2009-2010,2014-2015
09H05330,LICEO LA FRAGATA,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,17,2009-2010,2025-2026
09H01605,LOS ARISTOGATOS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H01203,LOS PEQUEÃOS SABIOS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,13,2009-2010,2021-2022
09H02420,LUCILA ASPIAZU DE MURILLO,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H02183,LUIS VARGAS TORRES,GUAYAS,GUAYAQUIL,XIMENA,Fiscal,Urbana,17,2009-2010,2025-2026
09H02072,LUZ DEL PORVENIR,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,17,2009-2010,2025-2026
09H00183,MADRE DE DIOS,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,17,2009-2010,2025-2026
09H00782,MANA DEL CIELO,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,6,2009-2010,2014-2015
09H01439,MANUEL WOLF HERRERA,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,17,2009-2010,2025-2026
09H01296,MARIA DE NAZARETH,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,17,2009-2010,2025-2026
