AMIE,Nombre_Institucion,Provincia,Canton,Parroquia,Sostenimiento,Area,Total_Anios_Registrados,Primer_Anio,Ultimo_Anio
09H04206,CRUZ ROJA MILAGRO,GUAYAS,MILAGRO,MILAGRO,Particular,Urbana,12,2014-2015,2025-2026
09H06186,ESCUELA DE EDUCACION BASICA HILANDO ARTE,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,12,2014-2015,2025-2026
09H06210,ESCUELA DE EDUCACION BASICA PARTICULAR DR. LUIS ARZUBE ARZUBE,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,12,2014-2015,2025-2026
09H06211,ESCUELA DE EDUCACION BASICA SUEÃOS Y FANTASIAS,GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,Particular,Urbana,12,2014-2015,2025-2026
10H00623,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA SEGUNDO TORRES,IMBABURA,IBARRA,SAN FRANCISCO,Particular,Urbana,6,2014-2015,2019-2020
11H01975,CENTRO DE DESARROLLO INFANTIL PARTICULAR SAN JOSE,LOJA,MACARA,MACARA (MANUEL ENRIQUE RENGEL SUQUILANDA),Particular,Urbana,6,2014-2015,2019-2020
11H01981,CENTRO DE EDUCACION INICIAL PARTICULAR ESCOLARIZADO LIDER KIDS,LOJA,LOJA,SAN SEBASTIAN,Particular,Urbana,12,2014-2015,2025-2026
11H01977,UNIDAD EDUCATIVA FISCOMISIONAL  PARA PCI HERMANO ANGEL PASTRANA,LOJA,LOJA,VALLE,Fiscomisional,Urbana,12,2014-2015,2025-2026
13H05192,CENTRO DE EDUCACION INICIAL CERRO DE HOJAS,MANABI,PORTOVIEJO,COLON,Particular,Urbana,11,2014-2015,2025-2026
13H05196,UNIDAD EDUCATIVA PARTICULAR JOSE IGNACIO,MANABI,PORTOVIEJO,COLON,Particular,Urbana,12,2014-2015,2025-2026
15B00204,UNIDAD EDUCATIVA DEL MILENIO SAN JOSE DE CHONTA PUNTA,NAPO,TENA,CHONTAPUNTA,Fiscal,Rural,12,2014-2015,2025-2026
15H00370,UNIDAD EDUCATIVA FISCOMISIONAL HERMANO MIGUEL,NAPO,TENA,TENA,Fiscomisional,Urbana,12,2014-2015,2025-2026
15H00372,UNIDAD EDUCATIVA MILENIO SANTA ROSA,NAPO,EL CHACO,SANTA ROSA,Fiscal,Rural,12,2014-2015,2025-2026
22H00536,BUEN PASTOR,ORELLANA,LORETO,SAN JOSE DE DAHUANO,Fiscal,Rural,12,2014-2015,2025-2026
22H00529,DULCES SUEÃOS,ORELLANA,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,Particular,Urbana,11,2014-2015,2025-2026
22B00179,IKA,ORELLANA,ORELLANA,ALEJANDRO LABAKA,Fiscal,Rural,12,2014-2015,2025-2026
22H00533,PADRE FRANCISCO TRAMAROLLO,ORELLANA,LORETO,SAN JOSE DE DAHUANO,Fiscomisional,Rural,12,2014-2015,2025-2026
22B00178,UNIDAD EDUCATIVA CAPITAN PABLO VILLARRUEL,ORELLANA,LORETO,SAN JOSE DE DAHUANO,Fiscal,Rural,12,2014-2015,2025-2026
16H00478,CENTRO EDUCATIVO INTERCULTURAL BILINGUE DAIPADE,PASTAZA,ARAJUNO,ARAJUNO,Fiscal,Urbana,12,2014-2015,2025-2026
17H00717,ARCO IRIS DEL SABER,PICHINCHA,QUITO,ITCHIMBIA,Particular,Urbana,10,2014-2015,2025-2026
17H03663,CDI LITTLE PRESCHOOL,PICHINCHA,QUITO,IÃAQUITO,Particular,Urbana,12,2014-2015,2025-2026
17H03661,CDI ROCOTIN,PICHINCHA,QUITO,ITCHIMBIA,Particular,Urbana,9,2014-2015,2025-2026
17H03674,CUMBAYA VALLEY LEARNING CENTER,PICHINCHA,QUITO,CUMBAYA,Particular,Rural,6,2014-2015,2019-2020
17H03647,EDUCACION SIGLO XXI,PICHINCHA,QUITO,MARISCAL SUCRE,Particular,Urbana,11,2014-2015,2025-2026
